term,E,P,A,E2,P2,A2
counselor,2.54,1.66,-0.78,2.54,1.66,-0.78
cousin,1.58,0.38,0.7,1.58,0.38,0.7
coward,-2.39,-2.95,-1.63,-2.39,-2.95,-1.63
craftsman,1.59,1.07,-0.31,1.59,1.07,-0.31
crane_operator,0.94,1.23,0.29,0.94,1.23,0.29
creditor,-0.45,1.63,0.63,-0.45,1.63,0.63
criminal,-2.55,-0.21,0.5,-2.55,-0.21,0.5
cripple,-0.08,-1.88,-1.78,-0.08,-1.88,-1.78
critic,-0.42,1.3,1.15,-0.42,1.3,1.15
crook,-2.81,-0.33,0.18,-2.81,-0.33,0.18
crybaby,-2.32,-1.93,2,-2.32,-1.93,2
culprit,-2.13,-0.22,0.61,-2.13,-0.22,0.61
custodian,1.54,-0.82,-0.93,1.54,-0.82,-0.93
customer,1.1,1.27,0.67,1.1,1.27,0.67
customer_systems_analyst,0.9,0.33,-0.6,0.9,0.33,-0.6
customs_officer,0.45,1.37,0.13,0.45,1.37,0.13
cutthroat,-1.94,1.33,0.97,-1.94,1.33,0.97
cynic,-1.43,-0.48,0.13,-1.43,-0.48,0.13
dairy_farmer,1.62,0.42,-0.62,1.62,0.42,-0.62
daredevil,0.51,1.74,3.08,0.51,1.74,3.08
daughter,1.99,1.07,1.02,1.99,1.07,1.02
daughter_in_law,1.25,0.21,0.13,1.25,0.21,0.13
