term,E,P,A,E2,P2,A2
placid,0.04,-0.56,-1.56,0.04,-0.56,-1.56
plain,-0.51,-1.16,-1.56,-0.51,-1.16,-1.56
playful,2.26,0.68,1.92,2.26,0.68,1.92
pleased,3.05,2.23,0.08,3.05,2.23,0.08
poised,1.58,1.41,-0.81,1.58,1.41,-0.81
polite,3.41,2.27,-0.84,3.41,2.27,-0.84
pompous,-1.77,0.17,1.56,-1.77,0.17,1.56
poor,-2.24,-2.3,-1.51,-2.24,-2.3,-1.51
popular,1.28,1.94,1.77,1.28,1.94,1.77
possessive,-1.51,0.46,1.01,-1.51,0.46,1.01
powerful,1.82,3.53,1.69,1.82,3.53,1.69
powerless,-2.58,-3.26,-1.83,-2.58,-3.26,-1.83
practical,2.13,1.7,-0.22,2.13,1.7,-0.22
prejudiced,-2.77,-0.47,0.63,-2.77,-0.47,0.63
preoccupied,-0.48,-0.14,0.25,-0.48,-0.14,0.25
presumptuous,-1.19,-0.18,1,-1.19,-0.18,1
pretty,2.46,1.82,0.59,2.46,1.82,0.59
principled,1.73,1.26,-0.33,1.73,1.26,-0.33
promiscuous,-1.65,-0.32,1.51,-1.65,-0.32,1.51
proud,2.17,2.28,1.15,2.17,2.28,1.15
provocative,-0.31,1.03,1.22,-0.31,1.03,1.22
psychotic,-2.41,-0.75,1.6,-2.41,-0.75,1.6
quarrelsome,-2.04,-0.02,2.1,-2.04,-0.02,2.1
quiet,0.68,0.04,-2.66,0.68,0.04,-2.66
rational,2.74,2.19,-0.83,2.74,2.19,-0.83
raunchy,-0.89,-0.04,1.31,-0.89,-0.04,1.31
reasonable,2.93,2.26,-0.77,2.93,2.26,-0.77
rebellious,-0.34,1.29,2.03,-0.34,1.29,2.03
reckless,-1.79,0.12,2.39,-1.79,0.12,2.39
reclusive,-1.02,-1.27,-2.37,-1.02,-1.27,-2.37
refined,1.99,1.46,-0.74,1.99,1.46,-0.74
regretful,-1.83,-0.96,-1.49,-1.83,-0.96,-1.49
rejected,-2.3,0.69,0.79,-2.3,0.69,0.79
relaxed,2.93,1.3,-2.53,2.93,1.3,-2.53
relentless,0.2,1.7,1.2,0.2,1.7,1.2
reliable,3.42,2.66,-0.02,3.42,2.66,-0.02
relieved,2.81,2.4,-0.55,2.81,2.4,-0.55
religious,1.31,1.22,0.2,1.31,1.22,0.2
remorseful,0.01,0.36,-1.16,0.01,0.36,-1.16
repentant,1.1,0.95,-0.97,1.1,0.95,-0.97
resentful,-2,-0.71,-0.74,-2,-0.71,-0.74
reserved,1.04,0.33,-2.28,1.04,0.33,-2.28
